date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-06-28,3.5125888813005266e+18,0.0,1.3518022680236697e+24,1.7339612757353624e+20,997731.0,221.07
2020-06-29,3.5205268955125903e+18,1042870000000000.0,1.56777863974376e+24,1.81769057071162e+20,1056189.0,225.09
2020-06-30,4.708908569033217e+18,0.0,1.9985220125084608e+24,5.121974292645449e+20,1111318.0,227.88
2020-07-01,4.4826946210277484e+18,0.0,1.8455164100874377e+24,2.1502577682011747e+20,1044438.0,225.61
2020-07-02,4.4703561968767764e+18,0.0,1.8181385688311809e+24,2.1269922296198355e+20,1039119.0,230.96
2020-07-03,4.668492245745583e+18,0.0,1.8129902896657235e+24,2.5504440176308653e+20,1022098.0,226.42
2020-07-04,3.1299680202567624e+18,0.0,1.2029030496084525e+24,1.4124127039507418e+20,946287.0,225.09
2020-07-05,2.9655845077549926e+18,0.0,1.0206029427589681e+24,1.4042450106680413e+20,880075.0,229.09
2020-07-06,5.894736700209881e+18,0.0,2.256239945688232e+24,3.1572707117170767e+20,1020012.0,227.95
2020-07-07,5.606276919131929e+18,0.0,2.277196802950811e+24,3.1563723773471175e+20,1064506.0,241.56
2020-07-08,7.80732782287068e+18,0.0,3.1727965319537626e+24,6.376496349076955e+20,1092210.0,239.26
2020-07-09,6.041089432778383e+18,0.0,2.4409384318501984e+24,3.6303263897783186e+20,1070343.0,246.93
2020-07-10,6.383902840336007e+18,0.0,2.4587410272463193e+24,2.8600958311653897e+20,1034806.0,242.01
2020-07-11,2.8178316364156513e+18,0.0,1.1021694840987642e+24,1.535328133633151e+20,982930.0,241.21
2020-07-12,3.344299393365189e+18,0.0,1.24437701697735e+24,1.6038775473829947e+20,997960.0,239.20
2020-07-13,6.422473543372297e+18,0.0,2.710810478133602e+24,3.875661111484381e+20,1151834.0,242.84
2020-07-14,7.638520556999501e+18,0.0,3.196491697488125e+24,5.072388674201891e+20,1098661.0,239.75
2020-07-15,4.3433124784581816e+18,0.0,1.8942358412917e+24,2.0903072375968796e+20,1111360.0,240.49
2020-07-16,5.600621068626205e+18,0.0,2.206639100416942e+24,2.5014943497564927e+20,1068620.0,238.62
2020-07-17,4.917148346274171e+18,0.0,1.896701465904421e+24,2.0595492290717594e+20,1078101.0,233.65
2020-07-18,3.7387321345111567e+18,0.0,1.356086748704392e+24,1.9250006457637274e+20,1071509.0,232.77
2020-07-19,4.352034014194397e+18,180317000000000.0,1.634780648955472e+24,2.8401491052500084e+20,1082448.0,235.72
2020-07-20,5.425326369954671e+18,0.0,2.2415332683364638e+24,2.4935753279917064e+20,1143700.0,239.03
2020-07-21,6.240084314634538e+18,0.0,2.3575912152488524e+24,3.193609551199477e+20,1120095.0,236.10
