,BTC,ETH, LTC,XRP,DOGE,USDT,BNB,ADA
317,16293.0,462.61,60.755,0.25489,0.002774,1.0008,27.65,0.104591
318,16323.1,476.38,65.923,0.26557,0.002811,1.001,28.13,0.106323
319,16074.7,460.75,63.799,0.26813,0.002766,1.0009,27.95,0.10406
320,15954.1,448.18,62.308,0.26949,0.002773,1.0008,27.62,0.100564
321,16715.8,460.37,73.751,0.28792,0.002879,1.0007,27.95,0.103871
322,17662.3,482.05,76.225,0.30226,0.002935,1.0011,28.52,0.109493
323,17775.1,478.55,73.354,0.29319,0.002908,1.001,28.11,0.106539
324,17805.5,471.27,81.52,0.30358,0.002906,1.0011,28.13,0.105873
325,18673.8,509.94,82.579,0.3299,0.002987,1.001,28.9,0.11837
326,18689.3,551.90,87.19,0.46288,0.00351,1.0006,30.54,0.133458
327,18428.1,559.37,82.831,0.44605,0.00334,1.0011,30.06,0.145662
328,18394.6,609.20,89.06,0.61546,0.003682,1.0007,31.0,0.169335
329,19151.5,605.01,89.272,0.6923,0.004232,1.0007,33.85,0.167
330,18721.9,569.69,81.743,0.63206,0.003716,1.0001,31.21,0.155231
331,17160.9,519.69,70.98,0.53659,0.003251,1.0008,28.23,0.138502
332,17142.6,518.70,69.167,0.56135,0.00327,1.0004,28.48,0.141457
333,17729.7,537.89,72.676,0.62578,0.003393,1.0007,29.12,0.164924
334,18186.0,575.35,78.945,0.60533,0.00344,1.0009,30.1,0.166503
335,19697.8,616.78,87.617,0.66388,0.003559,1.0005,31.49,0.172081
336,18767.9,585.69,85.161,0.61132,0.003327,1.0008,30.07,0.155712
337,19219.8,597.94,88.971,0.6305,0.003369,1.0007,30.25,0.15866
338,19431.1,616.33,88.993,0.63027,0.003433,1.0007,30.67,0.164088
339,18657.5,567.84,79.425,0.55359,0.003285,1.0002,29.0,0.147774
340,19146.0,596.61,83.146,0.58546,0.003391,1.0004,29.69,0.159919
341,19368.4,601.54,83.577,0.62158,0.003388,1.0006,29.49,0.158652
342,19170.8,591.03,83.395,0.60813,0.003333,1.0003,29.34,0.154036
343,18322.4,554.95,76.746,0.55916,0.003176,0.9993,27.66,0.141275
344,18546.1,573.28,77.36,0.58285,0.003158,1.0003,28.16,0.147966
345,18250.5,558.15,74.868,0.57185,0.003109,1.0001,27.72,0.141669
346,18026.7,544.16,72.219,0.54666,0.003076,0.9999,27.31,0.139204
347,18808.1,568.07,76.675,0.50589,0.003164,1.0004,28.17,0.144273
348,19176.4,590.66,82.246,0.51392,0.003259,0.9993,29.11,0.154079
349,19273.9,586.22,82.366,0.49735,0.003226,0.9997,30.05,0.158227
350,19434.7,588.81,81.361,0.46777,0.003203,1.0004,29.5,0.153828
351,21352.3,637.29,92.903,0.57087,0.003419,1.001,30.48,0.168202
352,22823.3,643.28,101.108,0.57794,0.003723,1.0004,30.2,0.163402
353,23127.6,654.08,109.331,0.58344,0.003862,1.001,30.92,0.165014
